"","tax_yr","zip3","count","b_zip3","count_selfemp_only","b_zip3_selfemp_only"
"1",1998,5,10,0.3,0,0.6
"2",2000,5,16,0.3125,0,0.384615384615385
"3",2001,5,17,0.117647058823529,0,0.222222222222222
"4",1996,6,1675,0.00358208955223881,2348,0.136363636363636
"5",1997,6,1966,0.00305188199389624,2794,0.12
"6",1998,6,2657,0.00376364320662401,12536,0.188679245283019
"7",1999,6,2853,0.00595864002804066,14686,0.246376811594203
"8",2000,6,3021,0.00860642171466402,17791,0.292134831460674
"9",2001,6,2838,0.01092318534179,13891,0.276785714285714
"10",2002,6,2554,0.00900548159749413,13293,0.23469387755102
"11",2003,6,2779,0.00755667506297229,14867,0.185840707964602
"12",2004,6,2564,0.00975039001560062,16642,0.242718446601942
"13",2005,6,2756,0.00834542815674891,17668,0.157534246575342
"14",2006,6,2893,0.00725890079502247,17378,0.137254901960784
"15",2007,6,3912,0.0171267893660532,5380,0.257692307692308
"16",2008,6,3130,0.0249201277955272,4261,0.26
"17",2009,6,2430,0.0164609053497942,3394,0.213903743315508
"18",1996,7,2333,0.00085726532361766,3433,0.0454545454545455
"19",1997,7,2948,0.00135685210312076,4188,0.0952380952380952
"20",1998,7,3841,0.00416558187971882,15944,0.242424242424242
"21",1999,7,3777,0.00608948901244374,17652,0.315068493150685
"22",2000,7,4174,0.0069477719214183,20971,0.258928571428571
"23",2001,7,3655,0.0109439124487004,15935,0.350877192982456
"24",2002,7,3165,0.0113744075829384,14269,0.260869565217391
"25",2003,7,3231,0.00835654596100279,15225,0.217741935483871
"26",2004,7,3240,0.0058641975308642,15719,0.128378378378378
"27",2005,7,3538,0.00621820237422272,20612,0.120879120879121
"28",2006,7,3508,0.00826681870011402,19562,0.153439153439153
"29",2007,7,4181,0.0141114565893327,5535,0.190938511326861
"30",2008,7,3864,0.0139751552795031,4840,0.178807947019868
"31",2009,7,3324,0.0156438026474128,3999,0.225108225108225
"32",1996,8,223,0.00448430493273543,266,0.0555555555555556
"33",1997,8,179,0.00558659217877095,213,0.0588235294117647
"34",1998,8,223,0.0134529147982063,288,0.142857142857143
"35",1999,8,205,0.00975609756097561,104,0.0625
"36",2000,8,239,0.00418410041841004,92,0.0263157894736842
"37",2001,8,224,0.0133928571428571,73,0.0909090909090909
"38",2002,8,269,0.0148698884758364,149,0.121212121212121
"39",2003,8,286,0.0174825174825175,165,0.0980392156862745
"40",2004,8,291,0.0274914089347079,203,0.205128205128205
"41",2005,8,280,0.0142857142857143,200,0.105263157894737
"42",2006,8,276,0.0144927536231884,290,0.0769230769230769
"43",2007,8,454,0.0242290748898678,187,0.17741935483871
"44",2008,8,258,0.0310077519379845,21,0.156862745098039
"45",2009,8,182,0.032967032967033,0,0.166666666666667
"46",1996,9,1298,0.00308166409861325,2907,0.0816326530612245
"47",1997,9,2399,0.00291788245102126,4260,0.0933333333333333
"48",1998,9,2993,0.00668225860340795,11756,0.21978021978022
"49",1999,9,2760,0.0101449275362319,11528,0.254545454545455
"50",2000,9,2777,0.0165646380986676,13281,0.315068493150685
"51",2001,9,2886,0.0308385308385308,10452,0.399103139013453
"52",2002,9,2591,0.0266306445387881,9061,0.293617021276596
"53",2003,9,2748,0.049490538573508,10166,0.501845018450184
"54",2004,9,2594,0.0269853508095605,10253,0.246478873239437
"55",2005,9,2856,0.0126050420168067,13203,0.142292490118577
"56",2006,9,2813,0.0142196942765731,12660,0.143884892086331
"57",2007,9,3339,0.0419287211740042,3516,0.316742081447964
"58",2008,9,3333,0.0447044704470447,3311,0.28544061302682
"59",2009,9,2507,0.0279218189070602,2406,0.276679841897233
"60",1996,10,16178,0.00618123377426134,23226,0.0338180588434224
"61",1997,10,16542,0.00773787933744408,24140,0.0451180824814945
"62",1998,10,16959,0.00660416298130786,25270,0.0403312927619734
"63",1999,10,17328,0.00646352723915051,15010,0.0407865986890022
"64",2000,10,16879,0.0103086675750933,14457,0.0656851642129105
"65",2001,10,17319,0.00923840868410416,14433,0.0583941605839416
"66",2002,10,18950,0.0107651715039578,16010,0.064130776485382
"67",2003,10,19476,0.0112446087492298,16167,0.0638111888111888
"68",2004,10,19604,0.00805957967761681,16289,0.0462664714494876
"69",2005,10,20043,0.00997854612582947,16743,0.0569313976658127
"70",2006,10,20364,0.0095757218621096,16944,0.055366269165247
"71",2007,10,20978,0.00934312136523978,17836,0.0546722454672245
"72",2008,10,21363,0.00730234517623929,17753,0.0424489795918367
"73",2009,10,22229,0.0081425165324576,18918,0.0513475177304965
"74",1996,11,9801,0.00387715539230691,12389,0.0414394765539804
"75",1997,11,11063,0.00614661484226702,13558,0.0621004566210046
"76",1998,11,11914,0.00637904985731073,14706,0.0656871218668972
"77",1999,11,12661,0.00584472000631862,11863,0.066427289048474
"78",2000,11,13329,0.00870282841923625,12164,0.104035874439462
"79",2001,11,13530,0.0135254988913525,11969,0.141094834232845
"80",2002,11,14402,0.0138175253437023,12909,0.139355742296919
"81",2003,11,14711,0.0145469376656923,13045,0.135786802030457
"82",2004,11,15131,0.0104421386557399,13491,0.102931596091205
"83",2005,11,15448,0.0124935266701191,13788,0.122074636306135
"84",2006,11,15808,0.0140435222672065,14053,0.136868064118372
"85",2007,11,16468,0.0165776050522225,14725,0.158998252766453
"86",2008,11,16655,0.010807565295707,14738,0.10221465076661
"87",2009,11,16537,0.0100380963899135,14842,0.101529051987768
"88",1996,12,6191,0.00856081408496204,7991,0.0411810411810412
"89",1997,12,6066,0.00708869106495219,7978,0.0347615198059822
"90",1998,12,6090,0.00558292282430213,8224,0.0290102389078498
"91",1999,12,6039,0.00778274548766352,4990,0.0431588613406795
"92",2000,12,5811,0.00774393391843056,4824,0.0436046511627907
"93",2001,12,5829,0.00806313261279808,4606,0.0440487347703843
"94",2002,12,6178,0.0121398510844934,5095,0.0637755102040816
"95",2003,12,6237,0.00817700817700818,5027,0.0414971521562246
"96",2004,12,6342,0.010406811731315,5175,0.0540983606557377
"97",2005,12,6315,0.0120348376880443,5105,0.0616382806163828
"98",2006,12,6444,0.00993171942892613,5249,0.0536013400335008
"99",2007,12,6504,0.00799507995079951,5319,0.0424489795918367
"100",2008,12,6661,0.00840714607416304,5457,0.0455655004068348
"101",2009,12,6840,0.00672514619883041,5693,0.040104620749782
"102",1996,13,3870,0.0118863049095607,5125,0.0543093270365998
"103",1997,13,3832,0.00808977035490605,5237,0.0393900889453621
"104",1998,13,3880,0.0103092783505155,5514,0.0516795865633075
"105",1999,13,3795,0.0118577075098814,3154,0.061307901907357
"106",2000,13,3712,0.0107758620689655,3084,0.0589970501474926
"107",2001,13,3708,0.00997842502696872,2903,0.0502035278154681
"108",2002,13,3974,0.0120785103170609,3176,0.058679706601467
"109",2003,13,4042,0.0121227115289461,3218,0.0572429906542056
"110",2004,13,3999,0.0127531882970743,3121,0.0569196428571429
"111",2005,13,3912,0.0143149284253579,3050,0.0656506447831184
"112",2006,13,4037,0.0104037651721575,3163,0.0488372093023256
"113",2007,13,4064,0.0100885826771654,3227,0.0478971962616822
"114",2008,13,4041,0.00866122246968572,3190,0.0410798122065728
"115",2009,13,4255,0.00775558166862515,3304,0.041405269761606
"116",1996,14,7791,0.00551918880759851,11587,0.0297783933518006
"117",1997,14,7735,0.00530058177117001,11955,0.0309667673716012
"118",1998,14,7924,0.00769813225643614,12651,0.0480693459416864
"119",1999,14,8012,0.00711432850723914,6905,0.0462662337662338
"120",2000,14,7760,0.0100515463917526,6754,0.0652173913043478
"121",2001,14,7820,0.00971867007672634,6537,0.0616382806163828
"122",2002,14,8564,0.0121438580102756,7101,0.0692410119840213
"123",2003,14,8748,0.00868770004572474,7280,0.0471464019851117
"124",2004,14,8660,0.0092378752886836,7111,0.0492914356130622
"125",2005,14,8722,0.0103187342352671,7185,0.0558659217877095
"126",2006,14,8871,0.0111599594183294,7267,0.0603290676416819
"127",2007,14,9216,0.0100911458333333,7536,0.0544177881802224
"128",2008,14,9223,0.00824026889298493,7620,0.0462006079027356
"129",2009,14,9672,0.00796112489660877,8177,0.0505581089954038
"130",1996,15,10382,0.00751300327489886,16397,0.0361613351877608
"131",1997,15,10272,0.00808021806853582,16847,0.0421106037544394
"132",1998,15,10271,0.00788628176419044,17510,0.0436187399030695
"133",1999,15,10181,0.00815244082113741,8482,0.0454545454545455
"134",2000,15,9913,0.00706143447997579,8403,0.040768782760629
"135",2001,15,9999,0.0085008500850085,8177,0.0491898148148148
"136",2002,15,11255,0.0073745002221235,9369,0.0387307512832478
"137",2003,15,11519,0.00989669242121712,9339,0.0475396163469558
"138",2004,15,11505,0.0109517601043025,9208,0.0521307405875052
"139",2005,15,11596,0.0117281821317696,9209,0.0537549407114625
"140",2006,15,11819,0.00939165750063457,9484,0.045085296506905
"141",2007,15,12234,0.0094000326957659,9841,0.0463149416028997
"142",2008,15,12553,0.00884250776706763,10165,0.0437179992122883
"143",2009,15,13162,0.00797751101656283,10875,0.0443224989447024
"144",1996,16,8321,0.00552818170892921,10871,0.0501635768811341
"145",1997,16,8986,0.00445136879590474,11728,0.041025641025641
"146",1998,16,9838,0.00640374059768246,13007,0.0614035087719298
"147",1999,16,10384,0.00741525423728814,9417,0.0784913353720693
